review,sentiment
"The original is a relaxing watch, with some truly memorable animated sequences. Unfortunately, the sequel, while not the worst of the DTV sequels completely lacks the sparkle.<br /><br />The biggest letdown is a lack of a story. Like Belle's Magical World, the characters are told through a series of vignettes. Magical World, while marginally better, still manages to make a mess of the story. In between the vignettes, we see the mice at work, and I personally think the antics of Jaq and Gus are the redeeming merits of this movie.<br /><br />The first vignette is the best, about Cinderella getting used to being to being a princess. This is the best, because the mice were at their funniest here. The worst of the vignettes, when Jaq turns into a human, is cute at times, but has a lack of imagination. The last vignette, when Anastasia falls in love, was also cute. The problem was, I couldn't imagine Anastasia being friendly with Cinderella, as I considered her the meaner out of the stepsisters. This was also marred by a rather ridiculous subplot about Lucifer falling in love with PomPom.<br /><br />The incidental music was very pleasant to listen to;however I hated the songs, they were really uninspired, and nothing like the beautiful Tchaikovsky inspired melodies of the original.<br /><br />The characters were the strongest development here. Cinderella while still caring, had lost her sincerity, and a lot of her charm from the original, though she does wear some very pretty clothes. The Duke had some truly funny moments but they weren't enough to save the film, likewise with Prudence and the king. As I mentioned, the mice were the redeeming merits of the movie, as they alone contributed to the film's cuteness. I have to say also the animation is colourful and above average, and the voice acting was surprisingly good.<br /><br />All in all, a cute, if unoriginal sequel, that was marred by the songs and a lack of a story. 4/10 for the mice, the voice acting, the animation and some pretty dresses. Bethany Cox",negative
"I'd honestly give this movie a solid 7.5, but I clicked 10 to try to offset the 5 pages of imbecilic, unjustified 1-star reviews. This is an interesting story, all of the acting is good to very good (even Ms. Diaz, who is totally out of her usual grinning-bimbo role here, yet plays it well.) The sets are perfect and the cinematography is consistently appropriately creepy. It's a fine morality play and there is *no* reason to explain the origin of the god/supernatural being/alien/whatever that's ""running the show,"" so I'm glad the movie doesn't try. It's really irrelevant to the story, which is relatively long but quite compelling and summed up quite satisfyingly in the ending. <br /><br />Before you decide this movie is terrible (or really, anything under a ~7.5) read some of the dozens of 1-star ""hated it"" reviews that are rife with misspellings, lack of punctuation and capitalization, and juvenile criticisms. Maybe the trailer was misleading or something -- I didn't see it -- but some of these reviewers were apparently expecting Terminator 4 or Saw 5 (one reviewer actually compared this movie to Saw! How utterly inappropriate and unrelated!) <br /><br />Seriously, most of these reviews read like you-tube comments -- according to these ""critics"" this movie is too confusing yet too predictable, not enough action yet there's too much going on, too smart yet too dumb, explains too much yet leaves too much unexplained... oh -- and it's apparently a ""waist (sic) of time."" Do consider the quality and source of the reviews before taking them to heart. I'm afraid these 1-star kids failed to understand the phrase ""altruism coefficient"" and were therefore utterly incapable of understanding the movie's premise (despite adamantly claiming that they ""get it"" right before explaining how confusing it was!) If you know what those two words mean you will have no trouble understanding (and enjoying) this movie.<br /><br />I really wish there were a reviewer reputation system here so I could be sure to ignore the rating of everyone who gave this movie 1 star forever.<br /><br />See it for yourself and enjoy the fine presentation of an interesting couple taking an interesting moral ""test"" and facing the consequences. It's a good time, in my opinion.",positive
"I am awed by actress Bobbie Phillips and her superb skill as an action star! This movie is propelled by her wonderful acting and terrific action prowess. I am a fan of sci-fi but I must say that this film exceeds most science fiction films in it's cinematography and mostly it's utilization of an actress whose presence supersedes the plot which is fine but is nothing new. Even though it looks as though this film was made for television, in my opinion it is better than most theatrically released films of its kind.",positive
"Mendez and Marichal have provided us with a serious, cogent and painful analysis of the social, spiritual, economic and political crisis that 108 years of colonialism have spawned in Puerto Rico. A beautiful island with the most hospitable people I have met and yet because our nation refuses to faces its imperial responsibilities, Puerto Ricans are allowed to wither and die.<br /><br />The spiritual crisis that the colonial situation of Puerto Rico has created, if undermining families, and the basic institutions that sustain any society. Corruption is rampant to the extent that people are not paying taxes (which has led a fiscal crisis for this nation) and a sense of cynicism and distrust permeate the island's culture.<br /><br />Fortunately, a grant allowed this painful yet powerful film to be produced.<br /><br />A must see . . .",positive
"""Dressed to Kill"" is Brian DePalma's best film, an absolute thrill ride of suspense, humor and style that remains unrivaled today. DePalma has a bum rap in Hollywood, as most people claim that he rips off Alfred Hitchcock. He does not. Hitchcock could only dream of what DePalma shows in his thrillers.<br /><br />Sadly, the original uncut version of ""Dressed to Kill"" is no longer available on video. The current copy released by Goodtimes is the Jack Valenti approved R rated cut. But some copies of DePalma's original cut still exist. It is the one distributed by Warner Home Video, in both a green cardboard box with Angie Dickinson on the cover, or in a black clamshell case with the theatrical poster on silver lining. These are the ones to get, if you can find a copy. I have the green one and it is among my treasured possessions.<br /><br />Anyway, back to the story. Dickinson plays Kate Miller, a sexually frustrated wife who is being treated by Dr. Robert Elliott ( Michael Caine) for her obsessive fantasies. While on a trip to the museum (a real tour-de-force for DePalma in terms of camera work and suspense), <br /><br />Miller is picked up by a stranger. You can pretty much guess what happens to her, since the ads and box art give away the story. But there are a few complications. A hooker (Nancy Allen) is the sole witness to the murder. Kate Miller's son Peter (Keith Gordon) is a teenage genius determined to solve the crime. And Dr. Elliott's answering machine has a certain message on it...about a missing razor...<br /><br />I'm not spoiling the film at all for you since what I have described above takes place within the opening half hour and DePalma's biggest surprises are reserved for the last hour. This film is explicit, however, enough for Valenti (head of the MPAA) to demand cuts in the film. What surprises me is what cuts he wanted. Several cuts in the opening shower scene and one or two slashing scenes and some of Nancy Allen's dialogue (Valenti wanted ""cock"" changed to ""bulge""). This is a film that is very violent and bloody, yet the objections are to sexual content. I'd love to hear Valenti's explaination at how seeing two women in a tender love scene in ""Lost and Delirious"" is somehow more damaging to a young mind than Arnold Schwarzenegger blowing away people with a chain gun. It just isn't fair.<br /><br />What makes ""Dressed to Kill"" so good is that not only are the technical credits first rate, but the performances are very good as well. Michael Caine, who was in a lot of crap in this time period, gives one of his best performances as the doctor. Angie Dickinson is better than usual, possibly because she actually has a strong role here. Nancy Allen adds this to her range of performances that has her pegged as one of the most underrated and overlooked actresses in the world. Keith Gordon is wonderful as the genius and i loved all those inventions of his.<br /><br />DePalma is one of our best directors who has never received the recognition he deserved. The recent joke of the AFI 100 Best Thrillers list showed that very few people actually know what a thriller is. If they were to actually open their eyes for once, they would see that DePalma has staked his career in thrillers and is actually the best craftsman. This is even better than ""Psycho"". It's a shame that very few actually know that.<br /><br />**** out of 4 stars",positive
"This is a made for TV movie by Hallmark. Hallmark has always made quality movies that are family orientated. Just Desserts is a boy and girl fall in love while working together movie. Two bakers competeing for a $250,000 prize against a field of professional bakers. It is fun and light hearted. The desserts look great. The movie has a catchy, upbeat little song played during the competition. I assume that it is a made for the movie song by Roger Bellon. To bad that no soundtrack is available. I would really like to get a copy of the song. I don't even know the name of the song, because the credits are squished at the end of the movie to make room for hundreds of promos. Anyway, the cast is great. It is always nice to see Brenda Vaccaro. She is very bubbly and upbeat. Lauren Holly is always a plus and Costas Mandylor rounds out the good guys with a wonderful performance. Professional chef Wolfgang Puck has a guest appearance. The movie is worth watching.",positive
This is one of my favorite movies of all time. It's great and the acting is brilliant. In the scene in which Michael Caine calls the police in tears and then stops the waterworks the second he finishes the call really displays Caine's brilliance. The twists are a lot of fun. The film is top-notch.,positive
"Opera was filmed in synchronization with a variety of other mass media productions (start point for Opera is the initial appearance of the raven eye):<br /><br />The Wizard of Oz (synch start points are third MGM lion roar, Dorothy's third knock on Tin Man's chest in the orchard, and Dorothy's third heel click; synchs with Gone With The Wind)<br /><br />Prince of Darkness (synch start point is the music score start point)<br /><br />Electric Ladyland (original release version songs and sequence only)<br /><br />Rocka Rolla (original release version songs only)<br /><br />Sad Wings of Destiny (original release ...)<br /><br />Sin After Sin (original release ...)<br /><br />Stained Class (original release ...)<br /><br />Hell Bent For Leather (original release ...)<br /><br />Point of Entry (original release ...)<br /><br />Screaming For Vengeance (original release ...)<br /><br />Defenders of the Faith (original release ...)<br /><br />Turbo (original release ...)",positive
"this film was almost a great imaginative film. A mixture of shakespeare, pop, jazz, and faerie tales. This movie was an imaginative twist on the Cinderella theme. Featuring a strong cast, headed by the perfectly cast Kathleen Turner, this movie had everything going for it. Everything but production values. I almost never think that a movie needs special effects or big budgets, but with an over the top production like this, it came off with the same seedy quality as every other made for tv movie. Besides better cinematography, this film was almost perfect.<br /><br />",positive
"If you like shoot em up westerns this is a keeper. I thought that the movie was fun to watch and to see folks that I have not seen in a while. I am no expert but I liked the acting. The town and props etc seemed to fit the period and kind of town that you would find out on the frontier. This is not an A western, not enough people and budget. The costumes and firearms were correct for the time! I expect to see the young actors in the film again in the future. Rachel, Chance, Rebekah and Kirby were great. The SASS (Single Action Shooting Society)members that contributed to this effort were pretty darn good. Hope to see more.",positive
"Welcome back Kiefer Sutherland. it's been too long since you've appeared in a movie,, and what a movie this was, was it 24 no,, but very intriguing, especially with a pro like Michael Douglas in the lead as the embattled Secret Service Agent. Kiefer's character is the one chasing Michael Douglas the whole movie,, Kiefer's partner,, is Eva Longoria,, the Desperate houswife. wow she can actually act besides flirt all day and look good,, i wish though that Kim Bassinger had a bigger role,, but other than that, i really think the whole movie was a blast from start to finish. This movie is what i consider to b e a political thriller, everybody played their part to the hilt. nothing was revealed to sooon in the movie,, so as to keep you guessing at all times. and i really think that Kiefer did one heck of a job here in this movie,, but in my opinion Michael Douglas had the besxt performance of the day,, thumbs up.",positive
"Thre isn't a single Scorsese movie I'd place on a list of my favorite movies. But this is the best thing I've run through my DVD player in about five years. Scorsese's patient elucidation of favorite film moments, and how Hollywood works is incredibly gracious, calm and intelligent. <br /><br />It's 3 DVD-sides worth of material. It would have to be a British production, since everything about American corporate culture would have trampled the quiet, methodical, no frills, put-the-focus-on-the-content approach that is taken here. And an American production would have demanded he say he liked only movies that were popular favorites. I wish everyone took a page from his love of movies. You should love the movies you do for personal, idiosyncratic and specific reasons. Not just more ""Me-too"" votes for The Godfather, etc.. People have no clue what ideas are being explored in their favorite movies. If they did, movies would be more interesting than they are. Scorsese DOES know what ideas are being explored, and that makes him a compelling, involved speaker on the topic. I really appreciate his articulate, generous interviews over the last decade.<br /><br />On a negative note, Scorsese is best when he's excited to show you some obscure movie, rather than when he's didactically teaching you something well-established about film history. And I do wish he pluck those three hairs out of the bridge of his nose. It's very distracting.",positive
"The next-to-last episode aired of the original Star Trek series is an interesting, sometimes melancholy installment that proves the show was still exploring its characters even at this point in the third season; though flawed, 'All Our Yesterdays' has its moments and overall a moody, compelling feel to it. Kirk, Spock, and McCoy beam down to a planet, assuming they are arriving in the nick of time to save or at least give some warning to whatever populace is there, since the planet's sun is due to explode within hours. But as it turns out, the people there are all too aware of the planet's fate, and using a kind of time travel device, have escaped into the past. Each person has been able to choose the time and place in the past where he or she would like to live at a 'library,' run by an elderly man named Mr. Atoz. Atoz assumes the three men are looking for a past to live in as well, and shows them various periods from which they can choose on viewers. There is some rather forced confusion at the start of the episode, with lines like:<br /><br />McCoy- Where did they go? Atoz- Wherever they wanted to.<br /><br />The misunderstanding could be cleared up rather easily, but for plot purposes, it isn't, and soon Kirk finds himself transported back to a period resembling 18th Century England, while Spock and McCoy are sent to an ice age, 5000 years in the planet's past. From here, the main focus is on Spock and his relationship with a woman exiled to this time by a tyrant as punishment. Spock begins acting increasingly emotional, showing anger toward McCoy and deep affection for Zarabeth, the woman. He eventually realizes that he is reverting back to the primitive emotional state of his ancestors on Vulcan, 5000 years ago. Kirk makes his way back to the library first, and finally convinces Mr. Atoz they don't belong in his planet's history. Spock and McCoy return just before it's too late, leaving Zarabeth behind; the Enterprise beams the three up and speeds away as the sun explodes, destroying the planet. The interaction between Spock and Zarabeth provides this episode's most memorable moments, though Kirk's adventure into the 'English' past is amusing. All in all, a very decent latter-day Star Trek outing.",positive
"Lina McLaidlaw is a bright, solitary young women who falls unexpectedly in love with Johnnie Aysgarth, a highly eligible bachelor with a penchant for losing money. They get married, but almost at once Lina is subjected to Johnnie's addiction to lying, gambling and getting into debt. Despite his flaws, she is unable to resist his charming manner, until she starts to suspect he may be harbouring murderous thoughts toward her ...<br /><br />This is a good movie, well-made, with an attractive cast, a good script and possibly the single lousiest ending in movie history. Okay, that's maybe going too far, but not by much. Lots of films change the ending of a book (Great Expectations, The Shining, etc) but the last two scenes of this one not only manage to be horribly lame, but also render the entire preceding plot completely meaningless. The story is about a woman whose husband is driven by his greed and moral lacking - and what she knows about him - to kill her. It should end (as it does in Francis Iles / Anthony Berkeley's book Before The Fact) with him attempting to murder her. The reason it doesn't is that the studio forced Hitch to reshoot the ending, one of the first examples of the godawful process of preview audience testing. Hitch was canny and did what he was told (this was only his third film in Hollywood) knowing that if he played the game, sooner or later he would gain creative control of his films, evinced by his masterpieces of the fifties. But that still leaves us with a turkey of an ending. This is a great shame because it really is a very good movie with an intriguing theme - does anyone really know their husband or wife that well ? The script is excellent, with many off-guard moments (such as when Lina's father dies and Johnnie assumes she's crying about it), a finely-judged performance by Grant (who never played a villain again) and fine photography throughout, culminating in the famous glass-of-milk shot. Fontaine won an Oscar for this performance, although personally I prefer her confusion and vulnerability in her earlier victimised wife role in Rebecca. I would like to rate this movie higher, but I really can't forgive that ending; this is what happens when movies are made for money, not love, which I guess is curiously the theme of the film itself. Look fast for Hitchcock's cameo as a man posting a letter.",negative
"I took my 10-year-old daughter to see Nancy Drew over the weekend and found myself thoroughly entertained. First off, it was clean, and I mean by my standards. The majority of kids' movies today are full of crude toilet humor and gross-out jokes to elicit cheap laughter from the pre-teen crowd. Nancy Drew is smarter than that, however, and the humor is subtle and clever.<br /><br />The title role is played with a refreshing vivaciousness by Emma Roberts, who is perky and polite without ever becoming annoying. Unlike The Brady Bunch Movie, where the anachronistic characters are jeered and ridiculed, Nancy's style is treated with respect and dignity. It's a great moment when the LA ""style-conscious"" girls with their Paris Hilton streetwalker attire are dismissed by the boutique owner, while Nancy, in her penny loafers and homemade Butterick pattern dress, is embraced. This movie shuns the we-need-to-enlighten-this-wholesome-girl tack so many Hollywood movies take. Nancy remains true to herself and her values throughout.<br /><br />The mystery is just tense enough at times to be engaging. There were several suspenseful moments where my daughter nervously grabbed my arm, but there were no gratuitous shock scenes. It's all based on tension and mood and is a lot of fun. The supporting cast is good, particularly Marshall Bell as the creepy caretaker. There are some great cameos by Eddie Jemison, Chris Kattan and Bruce Willis and many moments that will make adults smile.<br /><br />This film deserves better ratings than some have given it. Not only was I glad not to be dragged to yet another computer animated film where talking animals burp and pass gas all over the place, but I was also very entertained. Had I been there without a child, I still would've enjoyed the movie. This is one DVD that will have my daughter's name on it under the Christmas tree.",positive
"The decline series is amazing and director PS can't get enough credit for making these movies. I'm slightly surprised to see that not very many people have seen this one, or the other two, but their worth unearthing if you want the picture of punk in the trans-formative years between the late seventies and early eighties. The film starts out with a blistering collection of clips played over music from the band X. Many interviews with bands and punker's that offer an enlightening perspective as to what surviving was like on the low rung of the mainstream rock ladder. No internet, crappy jobs, and all out hostility collide in this genre. For new kids who haven't heard of these bands or are just starting one themselves this movie is a true lesson in how to rock. All the band performances (and there are many) are awesome, especially FEAR who never cease to amaze me. This and the second installment are amazing time capsules offering those who care a rare glimpse into the lives of these crazy people. It's true punk, like in the interview with Darby Crash's girlfriend when their recalling a painter who mysteriously/suddenly died outside their house and it took a week or so for them to figure it out, they take pictures next to the guy and everyone including the EMT's had a chuckle on this one, and in true form the interviewer asks the girlfriend if she was sad or upset that this guy had died while painting their house, the response ""no i hate painters"". How about Black Flag renting their apartment/rehearsal space for 16 dollars a month! My jaw almost fell off at that moment seeing as i'm renting a ten by ten closet to practice in for 400. Between watching this and Deadwood i feel like i was born in the wrong time period, just missing those cowboy days and nights of the old way. The people and bands associated with the movie paved the way for what harder music today is, and they did it in their own unique way. Brilliant film, ten stars, see part 2 as well its equally awesome, part 3 though, i don't know what to say about.",positive
"This Peabody Award winning episode is one of the highlights of the 1st Season where a holodeck malfunction traps Captain Picard, Beverly, Data, and a Starfleet historian named Waylan within a 1930's San Francisco setting. This episode is an homage to Raymond Chandler's ""Maltese Falcon"" where Patrick Stewart assumes the Humphrey Bogart role - complete with fedora and trenchcoat. The office itself is almost an exact replica of the one featured in Bogey's ""Maltese Falcon."" <br /><br />This episode also briefly introduces us to a mysterious insect race called the Jarada that communicate with mostly a high-pitched buzzing sound. Communication with this alien race is difficult, and it is up to Picard to communicate with this race in their native tongue so that negotiations and diplomacy can finally begin. The best part of this episode, though, is the appearance of the famous Hollywood B-actor Lawrence Tierney in the role of the gangster Cyrus Redblock. He was such a handsome man back in the 1940's. Oh, well...",positive
"How to lose friends and Alienate people came out in 2008. It bombed at U.S. Box offices. It's an absolutely hilarious film with a great cast. Simon Pegg is great playing Sidney Young, who wrote the book ""How to lose friends and Alienate people. I know it's not a true story. The only way I know that is because Sidney wants to go out with an actress named Sophie Maes. Sophie Maes doesn't exist, but other than that, the film could be real. How to lose friends and Alienate people is probably the funniest film of 2008, and I think you definitely should see it. As I said earlier, the film has a fantastic cast including: Kirsten Dunst(Spider-Man, The Virgin Suicides) Danny Huston(The Number 23, 30 days of night) Gillian Anderson(The X-Files) Megan Fox(Transformers, Confessions of a teenage drama Queen) Jeff Bridges(The Big Lebowski, The Vanishing) Overall, How to lose friends and Alienate people is hilarious. I think Simon Pegg and Kirsten Dunst do work well together, and I think you should see it. Though there is some odd nudity including Trans-sexuals, it's a hilarious and awesome comedy. One of Simon Pegg's best.<br /><br />The Plot:Sidney Young, a journalist from England, travels down to New York to work at Sharp magazines. While there, he meets an actress named Sophie Maes and tries to sleep with her before his boss does.",positive
"What a great cast for this movie. The timing was excellent and there were so many clever lines-several times I was still laughing minutes after they were delivered. I found Manna From Heaven to have some surprising moments and while there were things I was thinking would happen, the way they came together was anything but predictable. This movie is about hope and righting wrongs. I left the theater feeling inspired to do the right thing. Bravo to the Five Sisters.",positive
"A sick man Carleton Hendricks (Dee Snider), cruises the Teen Chat lines as Captain Howdy. He poses as a teenage boy and invites other teens over his house to party. He instead knocks them out, strips them, sews their mouth closed and tortures them (mostly with needles). He captures the daughter of cop Mike Gage (Kevin Gage). He finds him, arrests him and he's institutionalized. Four years later he's released...totally cured. But a lynch mop (led, amusingly, by Robert Englund) attack him and hang him. He doesn't die but he snaps and Captain Howdy is back...<br /><br />A very sick, disturbing, twisted horror film. Captain Howdy enjoys pain and torture and is trying to show the kids he kidnaps how to enjoy it also. The torture scenes aren't that explicit (you hear more than you see), but what you do see is very very sick. There's no humor and the (muted) screams of his victims sound way too real. I was cringing away from the TV during most of the scenes. <br /><br />The acting varies. Kevin Gage isn't that good as the cop--he's not terrible but he could have been better. Dee Snider is very scary as Captain Howdy--his attack scenes are not pleasant.<br /><br />All in all, not your typical horror film. I'll probably never see it again (this film really gets under your skin) but I recommend it to all horror fans--at least those with strong stomaches. I give it a 7.",positive
"They Made Me a Criminal is a remake of an earlier Warner Brothers film, The Life of Jimmy Dolan which starred Douglas Fairbanks, Jr. as the prizefighter on the lam.<br /><br />Even with the restrictions now upon production by the Hays Office, this remake actually turns out to be better than the original. Douglas Fairbanks, Jr., is horribly miscast as a pugilist. John Garfield with his background and style steps into a part he was born to play.<br /><br />They Made Me a Criminal was directed by Busby Berkeley who Jack Warner believed in keeping busy in between musicals. Berkeley in fact would soon be leaving Warner Brothers for MGM. <br /><br />Berkeley does do a fine job here, keeping the action flowing at a good pace. I particularly like the scene where four of the Dead End Kids and Garfield are swimming in a water tank and get stranded there when the water level goes down. They get it out of it quite narrowly and with some good ingenuity.<br /><br />Other performances besides Garfield and the kids to remember are May Robson who runs the summer camp for the kids and Claude Rains as the obsessed detective on Garfield's trail.",positive
"Brando plays the ace jet pilot, just back from shooting MiGs down in the Korean War. On leave, he discovers his Madame Butterfly, falls in love. The lovers both see the folly of racism and the cruelty which conservative cultural norms can bring to human relations.<br /><br />This film is an excellent romance with a nice twist which rejects the racist, conservative standards, dominant at the time it was made in 1957. ""Sayonara"" will make you laugh and cry. Beware though, sometimes the musical background will make you wish it was not there, although, Irving Berlin's title song will entice your memory for a very long time after your theatre lights come on again.",positive
